Crime Latitude,Crime Longitude,Borough,Crime Type,Severity,Time of Crime,Time of Suspect Apprehension,Apprehension Location
51.482046,-0.078272,City of London,Burglary,Medium,2024-12-20 19:18:00,2024-12-20 21:18:00,"(51.497951, -0.099481)"
51.484445,-0.07039,Southwark,Burglary,Medium,2024-04-04 19:12:00,2024-04-06 08:12:00,"(51.484429, -0.11636)"
51.496754,-0.095333,Hackney,Bicycle theft,Low,2024-08-07 15:42:00,2024-08-09 13:42:00,"(51.524415, -0.108262)"
51.516957,-0.110629,Westminster,Theft,Low,2024-12-05 06:16:00,2024-12-05 07:16:00,"(51.491375, -0.079897)"
51.527685,-0.09439,Westminster,Robbery,High,2024-04-05 23:24:00,2024-04-07 06:24:00,"(51.483545, -0.081229)"
51.496802,-0.077405,Camden,Shoplifting,Low,2024-05-15 21:21:00,2024-05-16 09:21:00,"(51.483093, -0.114815)"
51.483444,-0.078765,Tower Hamlets,Burglary,Medium,2024-05-14 09:59:00,2024-05-15 03:59:00,"(51.501016, -0.112658)"
51.498157,-0.116322,City of London,Public order,Medium,2024-08-13 14:39:00,2024-08-15 11:39:00,"(51.499744, -0.118732)"
51.491827,-0.082136,Westminster,Theft,Low,2024-05-18 21:21:00,2024-05-19 12:21:00,"(51.514562, -0.106775)"
51.5046,-0.083915,Westminster,Shoplifting,Low,2024-02-20 07:42:00,2024-02-21 01:42:00,"(51.506416, -0.085579)"
51.519171,-0.075401,Southwark,Shoplifting,Low,2024-04-05 19:31:00,2024-04-06 22:31:00,"(51.512746, -0.105509)"
51.484721,-0.111428,Camden,Shoplifting,Low,2024-11-28 10:33:00,2024-11-28 12:33:00,"(51.508354, -0.089941)"
51.520413,-0.119678,City of London,Robbery,High,2024-09-07 12:30:00,2024-09-07 18:30:00,"(51.507278, -0.077747)"
51.504369,-0.094162,Camden,Violence and sexual offences,High,2024-03-26 12:31:00,2024-03-28 06:31:00,"(51.500637, -0.084179)"
51.512844,-0.103114,Hackney,Robbery,High,2024-05-06 15:39:00,2024-05-07 17:39:00,"(51.503153, -0.113815)"
51.51541,-0.110517,Hackney,Shoplifting,Low,2024-04-12 22:55:00,2024-04-14 02:55:00,"(51.487409, -0.088482)"
51.498049,-0.092425,Westminster,Theft,Low,2024-08-22 07:38:00,2024-08-23 15:38:00,"(51.490049, -0.117395)"
51.493138,-0.074783,Camden,Theft,Low,2024-09-21 05:12:00,2024-09-22 23:12:00,"(51.514664, -0.102464)"
51.485589,-0.116671,Westminster,Theft,Low,2024-02-12 09:10:00,2024-02-13 08:10:00,"(51.507913, -0.119833)"
51.517886,-0.073682,Camden,Robbery,High,2024-09-27 10:06:00,2024-09-28 12:06:00,"(51.525681, -0.098087)"
51.528164,-0.097882,Camden,Shoplifting,Low,2024-05-21 20:11:00,2024-05-22 22:11:00,"(51.509115, -0.101352)"
51.516944,-0.102423,Hackney,Bicycle theft,Low,2024-04-07 12:27:00,2024-04-07 14:27:00,"(51.49057, -0.082049)"
51.509094,-0.103887,Camden,Theft,Low,2024-10-17 02:57:00,2024-10-17 17:57:00,"(51.507035, -0.092336)"
51.495144,-0.08626,Hackney,Burglary,Medium,2024-06-24 17:44:00,2024-06-25 20:44:00,"(51.520776, -0.091428)"
51.521448,-0.079451,Tower Hamlets,Theft,Low,2024-01-10 02:50:00,2024-01-11 04:50:00,"(51.512684, -0.105354)"
51.505765,-0.073668,Camden,Bicycle theft,Low,2024-04-22 20:03:00,2024-04-23 17:03:00,"(51.494309, -0.092571)"
51.503411,-0.097864,Tower Hamlets,Shoplifting,Low,2024-09-24 10:35:00,2024-09-24 19:35:00,"(51.487428, -0.073658)"
51.516791,-0.080239,Hackney,Shoplifting,Low,2024-01-19 12:48:00,2024-01-21 10:48:00,"(51.515996, -0.106714)"
51.480103,-0.105309,City of London,Burglary,Medium,2024-01-14 15:41:00,2024-01-15 06:41:00,"(51.482578, -0.11334)"
51.489086,-0.110518,Westminster,Violence and sexual offences,High,2024-07-21 11:15:00,2024-07-22 08:15:00,"(51.524117, -0.086971)"
51.509146,-0.118181,Tower Hamlets,Theft,Low,2024-01-15 04:18:00,2024-01-16 02:18:00,"(51.50202, -0.103276)"
